"Sr.","Stock Name","Symbol","close","%_change","volume","sector","industry2","marketcapname","Add Column"
1721,"Blue Jet Healthcare Ltd","BLUEJET","570.65","-0.49%","2,49,831","healthcare","pharmaceuticals - indian - bulk drugs & formln","midcap",""
1722,"Aadhar Housing Finance Ltd","AADHARHFC","444.5","-0.49%","4,40,466","financials","finance - housing","midcap",""
1723,"JNK India Ltd","JNKINDIA","420.4","-0.49%","95,931","realty","engineering - turnkey services","smallcap",""
1724,"Afcons Infrastructure Ltd","AFCONS","252.5","-0.49%","4,34,570","realty","construction","midcap",""
1725,"Bayer Cropscience Limited","BAYERCROP","3,717.6","-0.5%","17,650","chemicals","pesticides / agrochemicals - multinational","midcap",""
1726,"Hind Rectifiers Limited","HIRECT","1,212.9","-0.5%","24,429","consumer discretionary","electronics - components","smallcap",""
1727,"Nippon India ETF Hang Seng Bees","HNGSNGBEES","457.74","-0.5%","77,439","indices","indices","smallcap",""
1728,"Pasupati Acrylon Ltd","PASUPTAC","75.87","-0.5%","2,78,575","textiles","textiles - manmade","smallcap",""
1729,"Cinevista Limited","CINEVISTA","14.04","-0.5%","8,262","realty","construction","smallcap",""
1730,"Hindalco Industries Limited","HINDALCO","977","-0.51%","24,69,481","metals & mining","aluminium and aluminium products","largecap",""
1731,"Wealth First Portfolio Managers Ltd","WEALTH","834.95","-0.51%","51,360","financials","finance & investments","smallcap",""
1732,"Krsnaa Diagnostics Ltd","KRSNAA","548.45","-0.51%","23,523","healthcare","healthcare","smallcap",""
1733,"L T Foods Ltd","LTFOODS","422.35","-0.51%","2,48,790","fmcg","food - processing - indian","midcap",""
1734,"Ptc India Limited","PTC","155.09","-0.51%","9,97,223","power & utilities","trading","smallcap",""
1735,"Nandani Creation Ltd","JAIPURKURT","25.13","-0.51%","34,887","textiles","textiles - products","smallcap",""
1736,"NIFTYMIDLIQ15","NIFTYMIDLIQ15","16,584.25","-0.52%","0","indices","indices","smallcap",""
1737,"Uno Minda Ltd","UNOMINDA","1,218","-0.52%","2,72,547","auto","auto ancillaries","largecap",""
1738,"The Ramco Cements Limited","RAMCOCEM","867.55","-0.52%","3,01,245","building materials","cement - south india","largecap",""
1739,"Rossari Biotech Ltd","ROSSARI","444.2","-0.52%","20,447","chemicals","chemicals","smallcap",""
1740,"General Insurance Corporation of India Ltd","GICRE","337.5","-0.52%","2,62,473","financials","finance & investments","largecap",""
1741,"Max India Ltd","MAXIND","148.45","-0.52%","16,908","financials","finance & investments","smallcap",""
1742,"Bhansali Engineering Polymers Limited","BEPL","126.43","-0.52%","8,72,863","energy","petrochemicals","smallcap",""
1743,"Navneet Education Limited","NAVNETEDUL","122.76","-0.52%","70,780","miscellaneous","printing & stationery","smallcap",""
1744,"Aeroflex Neu Ltd","AERONEU","80.22","-0.52%","2,88,275","industrials","packaging","smallcap",""
1745,"Manorama Industries Ltd","MANORAMA","1,872.8","-0.53%","1,17,509","fmcg","food - processing - indian","midcap",""
1746,"Unichem Laboratories Limited","UNICHEMLAB","549.7","-0.53%","50,490","healthcare","pharmaceuticals - indian - bulk drugs & formln","smallcap",""
1747,"Hexaware Technologies Ltd","HEXT","496.7","-0.53%","62,991","n/a","indices","smallcap",""
1748,"BEML Land Assets Ltd","BLAL","161.96","-0.53%","41,047","realty","construction","smallcap",""
1749,"Lemon Tree Hotels Ltd","LEMONTREE","106.15","-0.53%","18,51,366","services","hotels","midcap",""
1750,"Den Networks Limited","DEN","26.38","-0.53%","2,71,603","media","entertainment / electronic media software","smallcap",""
1751,"Indian Railway Catering & Tourism Corporation Ltd","IRCTC","458.7","-0.54%","3,62,569","transportation","travel agencies","largecap",""
1752,"Agarwal Industrial Corporation Limited","AGARIND","397.9","-0.54%","35,549","energy","petrochemicals","smallcap",""
1753,"Railtel Corporation of India Ltd","RAILTEL","260.15","-0.54%","3,92,954","transportation","telecommunications - service provider","midcap",""
1754,"Indraprastha Gas Limited","IGL","144.95","-0.54%","9,75,286","energy","miscellaneous","largecap",""
1755,"Maral Overseas Limited","MARALOVER","58.61","-0.54%","6,753","textiles","textiles - cotton/blended","smallcap",""
1756,"NIFTYEES","NIFTYEES","22,705","-0.55%","20","indices","indices","smallcap",""
1757,"Indo Borax & Chemicals Ltd","INDOBORAX","449.95","-0.55%","37,260","chemicals","chemicals","smallcap",""
1758,"Shivalik Rasayan Ltd","SHIVALIK","408.45","-0.55%","67,598","chemicals","pesticides / agrochemicals - indian","smallcap",""
1759,"Advanced Enzyme Technologies Limited","ADVENZYMES","291.15","-0.55%","1,85,804","healthcare","pharmaceuticals - indian - bulk drugs & formln","smallcap",""
